标题,租赁方式,户型,面积,朝向,维护,入住,楼层,电梯,车位,用水,用电,燃气,采暖,租期,看房,付款方式,租金(元/月),押金(元),服务费(元),中介费(元),链接
吉祥雅筑,整租,3室1厅1卫,95.00㎡,东 南 北,1天前,随时入住,低楼层/15层,有,暂无数据,民水,民电,有,自采暖,1年以内,需提前预约,年付,6000,6000,0.0,6000,https://bj.zu.ke.com/zufang/BJ1944652062675435520.html
常青园北里,整租,1室1厅1卫,63.50㎡,西,今天,随时入住,5/6层,有,租用车位,民水,民电,有,集中供暖,1~2年,随时可看,月付,7444,7444,,0,https://bj.zu.ke.com/zufang/BJ1975885612758073344.html
金沟河12号院,合租,3居室,7.82㎡,北,今天,随时入住,2/6层,无,暂无数据,民水,民电,有,集中供暖,1年,随时可看,月付,2478,2478,,0,https://bj.zu.ke.com/zufang/BJ1975914436350705664.html
玉泉医院家属楼,整租,2室1厅1卫,55.98㎡,南 北,1天前,随时入住,中楼层/6层,无,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,季付,4900,4900,0.0,4900,https://bj.zu.ke.com/zufang/BJ1944667898828029952.html
苏州街33号公寓,整租,2房间1卫,43.00㎡,西,1天前,随时入住,高楼层/16层,有,暂无数据,商水,商电,有,集中供暖,1年以内,需提前预约,季付,6000,6000,0.0,6000,https://bj.zu.ke.com/zufang/BJ1944672102011371520.html
花市枣苑三期,整租,1室0厅1卫,52.14㎡,北,1天前,随时入住,高楼层/17层,有,暂无数据,民水,民电,有,自采暖,暂无数据,需提前预约,季付,6100,6100,0.0,6100,https://bj.zu.ke.com/zufang/BJ1944674368659390464.html
丰开苑,整租,3室1厅1卫,88.16㎡,东南,5天前,随时入住,高楼层/18层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,7800,7800,0.0,7800,https://bj.zu.ke.com/zufang/BJ1944627717085331456.html
南门仓胡同,整租,2室1厅1卫,68.00㎡,东 西,4天前,随时入住,低楼层/6层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,9500,9500,0.0,9500,https://bj.zu.ke.com/zufang/BJ1944628484340973568.html
星源国际,整租,1室0厅1卫,62.82㎡,东 东北,13天前,随时入住,低楼层/30层,有,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,季付,6500,6500,0.0,6500,https://bj.zu.ke.com/zufang/BJ1944744909718159360.html
双峪路小区,整租,2室1厅1卫,50.41㎡,南 北,2天前,随时入住,中楼层/5层,无,暂无数据,民水,民电,有,集中供暖,2年以内,需提前预约,季付,2600,2600,0.0,2600,https://bj.zu.ke.com/zufang/BJ1944743815000621056.html
弘善家园,整租,1室1厅1卫,60.00㎡,南,今天,随时入住,中楼层/16层,有,暂无数据,民水,民电,有,自采暖,暂无数据,需提前预约,季付,4800,4800,0.0,4800,https://bj.zu.ke.com/zufang/BJ1944738537370812416.html
惠新里小区,整租,2室1厅1卫,65.00㎡,东 西,14天前,随时入住,高楼层/12层,有,暂无数据,民水,民电,有,集中供暖,2年以内,需提前预约,季付,5900,5900,0.0,5900,https://bj.zu.ke.com/zufang/BJ1944746986146103296.html
恋日嘉园二期,整租,2室1厅1卫,90.48㎡,南,3天前,2025-01-09,4/19层,有,租用车位,民水,民电,有,集中供暖,1年,需提前预约,月付,10248,10248,,0,https://bj.zu.ke.com/zufang/BJ1975943529016328192.html
仓上小区,整租,3室1厅1卫,92.00㎡,南 北,10天前,随时入住,中楼层/6层,无,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,季付,3200,3200,0.0,3200,https://bj.zu.ke.com/zufang/BJ1956951882643537920.html
于家园二区南院,整租,3室1厅1卫,82.28㎡,南 北,8天前,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,季付,2200,2200,0.0,2200,https://bj.zu.ke.com/zufang/BJ1956954677614477312.html
运河湾南区,整租,3室1厅1卫,135.00㎡,南 北,9天前,随时入住,中楼层/24层,有,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,季付,7500,7500,0.0,7500,https://bj.zu.ke.com/zufang/BJ1956954467937026048.html
安华西里社区,合租,3居室,8.60㎡,北,今天,2024-12-26,2/6层,无,租用车位,民水,民电,有,集中供暖,1年,需提前预约,月付,3034,3034,,0,https://bj.zu.ke.com/zufang/BJ1846940056003018752.html
石园北区,整租,2室1厅1卫,83.00㎡,南 北,7天前,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,半年付,2900,2900,0.0,2900,https://bj.zu.ke.com/zufang/BJ1956954002994233344.html
力鸿花园,整租,2室1厅1卫,141.82㎡,西,今天,随时入住,14/24层,有,租用车位,民水,民电,有,集中供暖,1年,随时可看,月付,14416,14416,,0,https://bj.zu.ke.com/zufang/BJ1846977638464225280.html
芳群园三区,整租,2室1厅1卫,59.49㎡,南 北,2天前,随时入住,中楼层/14层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,5900,5900,0.0,5900,https://bj.zu.ke.com/zufang/BJ1956953596952051712.html
世纪金源国际公寓,整租,1室1厅1卫,131.35㎡,东,7天前,随时入住,高楼层/13层,有,暂无数据,民水,民电,无,集中供暖,3年以内,需提前预约,半年付,16500,16500,0.0,16500,https://bj.zu.ke.com/zufang/BJ1956951162238271488.html
中海寰宇时代,整租,2室1厅1卫,70.00㎡,南 北,3天前,随时入住,高楼层/18层,有,租用车位,民水,民电,有,集中供暖,1年以内,需提前预约,季付,5500,5500,0.0,5500,https://bj.zu.ke.com/zufang/BJ1956951244199165952.html
天和景园,整租,3室2厅1卫,153.70㎡,南 北,4天前,随时入住,中楼层/16层,有,暂无数据,民水,民电,有,集中供暖,3年以内,需提前预约,季付,9000,9000,0.0,9000,https://bj.zu.ke.com/zufang/BJ1956954742584246272.html
青春路一院,整租,2室1厅1卫,60.75㎡,南 北,10天前,随时入住,高楼层/6层,无,免费使用,民水,民电,有,集中供暖,1年以内,需提前预约,季付,1900,1900,0.0,1900,https://bj.zu.ke.com/zufang/BJ1956966973552197632.html
华辉苑,合租,5居室,25.00㎡,东,5天前,随时入住,3/22层,有,暂无数据,民水,民电,有,集中供暖,11~12个月,随时可看,季付,2800,2800,,0,https://bj.zu.ke.com/zufang/BJ1846866486790979584.html
劲松南路,整租,2室1厅1卫,64.00㎡,东 东南,今天,随时入住,中楼层/18层,有,暂无数据,民水,民电,有,集中供暖,3年以内,需提前预约,季付,4900,4900,0.0,4900,https://bj.zu.ke.com/zufang/BJ1956963424629948416.html
滨河西里南区,整租,2室1厅1卫,59.78㎡,南 北,5天前,随时入住,中楼层/6层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,3800,3800,0.0,3800,https://bj.zu.ke.com/zufang/BJ1956963140763648000.html
枫竹苑二区,整租,3室2厅2卫,128.62㎡,南 北,15天前,随时入住,中楼层/16层,有,租用车位,民水,民电,有,自采暖,1年以内,需提前预约,季付,9500,9500,0.0,9500,https://bj.zu.ke.com/zufang/BJ1956962476641746944.html
玉阜嘉园,整租,2室1厅1卫,123.00㎡,西南,7天前,随时入住,高楼层/12层,有,暂无数据,民水,民电,有,自采暖,1年以内,需提前预约,季付,9500,9500,0.0,9500,https://bj.zu.ke.com/zufang/BJ1956964746439688192.html
金泉时代,整租,1室1厅1卫,116.27㎡,南 北,1天前,随时入住,低楼层/27层,有,暂无数据,民水,民电,无,集中供暖,2年以内,需提前预约,季付,12000,12000,0.0,12000,https://bj.zu.ke.com/zufang/BJ1956967094490759168.html
远见名苑,整租,1室0厅1卫,57.00㎡,西,5天前,随时入住,低楼层/24层,有,暂无数据,民水,民电,有,自采暖,暂无数据,需提前预约,季付,5400,5400,0.0,5400,https://bj.zu.ke.com/zufang/BJ1956959474518327296.html
通州富力中心A,整租,3房间1卫,72.44㎡,东南,1天前,随时入住,14/40层,无,暂无数据,商水,商电,无,集中供暖,3~12个月,随时可看,季付,4500,4500,,0,https://bj.zu.ke.com/zufang/BJ1846544906613424128.html
前泥洼小区,合租,3居室,13.08㎡,北,3天前,2025-01-01,10/12层,有,暂无数据,民水,民电,有,集中供暖,1~2年,需提前预约,月付,2929,2929,,0,https://bj.zu.ke.com/zufang/BJ1846552383849496576.html
阜成路95号院,整租,2室1厅1卫,92.00㎡,南 北,5天前,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,季付,8000,8000,0.0,8000,https://bj.zu.ke.com/zufang/BJ1956959205411782656.html
世纪星家园,合租,4居室,18.36㎡,南,3天前,2025-01-06,24/29层,有,租用车位,民水,民电,有,集中供暖,1~2年,需提前预约,月付,4231,4231,,0,https://bj.zu.ke.com/zufang/BJ1846579490952577024.html
澳洲康都,整租,3室2厅2卫,137.00㎡,南 北,今天,随时入住,中楼层/24层,有,暂无数据,民水,民电,有,集中供暖,3年以内,需提前预约,季付,12500,12500,0.0,12500,https://bj.zu.ke.com/zufang/BJ1956960224413745152.html
古城南路,合租,2居室,13.70㎡,东,今天,随时入住,3/5层,无,暂无数据,民水,民电,有,集中供暖,4~7个月,随时可看,月付,2866,2866,,0,https://bj.zu.ke.com/zufang/BJ1846854619167195136.html
西山锦绣府,整租,3室1厅1卫,89.00㎡,南 北,1天前,2025-01-31,低楼层/11层,有,租用车位,民水,暂无数据,有,自采暖,3年以内,需提前预约,半年付,9200,9200,0.0,9200,https://bj.zu.ke.com/zufang/BJ1956969647483912192.html
安宁里,整租,2室1厅1卫,57.00㎡,南,今天,随时入住,3/6层,无,暂无数据,民水,民电,有,集中供暖,1年,随时可看,月付,7381,7381,,0,https://bj.zu.ke.com/zufang/BJ1846884058420740096.html
金隅康惠园3号院,整租,2室1厅1卫,68.41㎡,西,3天前,2024-12-27,12/22层,有,租用车位,民水,民电,有,集中供暖,1~2年,需提前预约,月付,6048,6048,,0,https://bj.zu.ke.com/zufang/BJ1846978861632323584.html
南开地,整租,3室1厅1卫,59.41㎡,南 北,2天前,随时入住,中楼层/5层,无,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,季付,4600,4600,0.0,4600,https://bj.zu.ke.com/zufang/BJ1849005260538904576.html
大湖山庄,整租,6室2厅6卫,475.00㎡,东 南 西 北,12天前,随时入住,地下室/2层,无,免费使用,民水,民电,有,自采暖,暂无数据,需提前预约,季付,70000,70000,0.0,70000,https://bj.zu.ke.com/zufang/BJ1848933298982617088.html
福海佳园二区,整租,2室2厅1卫,88.00㎡,南 北,3天前,随时入住,高楼层/18层,有,暂无数据,暂无数据,暂无数据,有,集中供暖,暂无数据,需提前预约,季付,4500,4500,0.0,4500,https://bj.zu.ke.com/zufang/BJ1848672761652707328.html
东方太阳城,整租,3室2厅2卫,137.67㎡,南 北,今天,随时入住,高楼层/6层,有,免费使用,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,4800,4800,0.0,4800,https://bj.zu.ke.com/zufang/BJ1850120359475412992.html
八角北路,合租,3居室,14.50㎡,南,今天,随时入住,1/6层,无,暂无数据,民水,民电,有,集中供暖,1年,随时可看,月付,2656,2656,,0,https://bj.zu.ke.com/zufang/BJ1970043579271217152.html
观景园,整租,2室1厅1卫,90.52㎡,南 北,13天前,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,自采暖,暂无数据,需提前预约,季付,7200,7200,0.0,7200,https://bj.zu.ke.com/zufang/BJ1849689414754631680.html
梵谷水郡,合租,4居室,9.92㎡,北,3天前,2024-12-23,6/9层,有,暂无数据,民水,民电,有,集中供暖,1~2年,需提前预约,月付,2551,2551,,0,https://bj.zu.ke.com/zufang/BJ1970053811250659328.html
芳星园一区,整租,1室1厅1卫,48.54㎡,南,6天前,随时入住,中楼层/25层,有,暂无数据,民水,民电,有,集中供暖,3年以内,一般下班后可看,季付,4900,4900,0.0,4900,https://bj.zu.ke.com/zufang/BJ1849775474645925888.html
西屋国际,整租,3室2厅2卫,231.64㎡,南 北,1天前,随时入住,高楼层/22层,有,租用车位,民水,民电,有,集中供暖,3年以上,需提前预约,季付,33000,33000,0.0,33000,https://bj.zu.ke.com/zufang/BJ1851477438513545216.html
嘉多丽园,整租,1室0厅1卫,43.60㎡,东南,8天前,随时入住,高楼层/12层,有,暂无数据,民水,民电,有,集中供暖,3年以内,需提前预约,季付,4800,4800,0.0,4800,https://bj.zu.ke.com/zufang/BJ1851240358751502336.html
罗马花园,整租,3室1厅2卫,163.00㎡,南,13天前,随时入住,中楼层/26层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,一般下班后可看,季付,15000,15000,0.0,15000,https://bj.zu.ke.com/zufang/BJ1851252990346788864.html
远洋五里春秋,整租,4室2厅5卫,500.00㎡,南 北,5天前,随时入住,中楼层/4层,无,租用车位,暂无数据,暂无数据,有,集中供暖,3年以内,需提前预约,季付,26000,26000,0.0,26000,https://bj.zu.ke.com/zufang/BJ1851118835747258368.html
朝庭,整租,2室2厅2卫,109.00㎡,东南,2天前,随时入住,低楼层/27层,有,租用车位,民水,民电,有,自采暖,2年以内,需提前预约,季付,9000,9000,0.0,9000,https://bj.zu.ke.com/zufang/BJ1851114653057286144.html
东兴一区,合租,5居室,11.20㎡,南,今天,随时入住,4/6层,无,暂无数据,民水,民电,有,集中供暖,1年,随时可看,月付,1711,1711,,0,https://bj.zu.ke.com/zufang/BJ1970062073341673472.html
黄亭子小区,合租,2居室,9.90㎡,北,今天,随时入住,1/6层,无,暂无数据,民水,民电,有,集中供暖,1~2年,随时可看,月付,3559,3559,,0,https://bj.zu.ke.com/zufang/BJ1970061302533455872.html
石景苑,整租,3室1厅1卫,105.00㎡,南,13天前,随时入住,低楼层/15层,有,免费使用,民水,民电,有,集中供暖,1年以内,需提前预约,季付,4000,4000,0.0,4000,https://bj.zu.ke.com/zufang/BJ1851217507348643840.html
首开万科城市之光,整租,3室1厅2卫,90.96㎡,南 北,2天前,随时入住,高楼层/17层,有,租用车位,民水,商电,有,集中供暖,2年以内,需提前预约,年付,5300,5300,0.0,5300,https://bj.zu.ke.com/zufang/BJ1851205682674532352.html
阳光都市,整租,1室1厅1卫,65.67㎡,北,6天前,随时入住,中楼层/25层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,10000,10000,0.0,10000,https://bj.zu.ke.com/zufang/BJ1850405694600118272.html
华业东方玫瑰A区,合租,3居室,10.60㎡,北,今天,随时入住,13/27层,有,租用车位,民水,民电,有,集中供暖,1年,随时可看,月付,1984,1984,,0,https://bj.zu.ke.com/zufang/BJ1970053520002383872.html
泰禾拾景园,合租,4居室,10.01㎡,南,今天,随时入住,16/17层,有,租用车位,民水,民电,有,集中供暖,1年,随时可看,月付,2971,2971,,0,https://bj.zu.ke.com/zufang/BJ1970060508782395392.html
永定路1号院,整租,2室1厅1卫,50.80㎡,南,1天前,随时入住,中楼层/5层,无,暂无数据,民水,民电,有,集中供暖,3年以内,需提前预约,季付,6600,6600,0.0,6600,https://bj.zu.ke.com/zufang/BJ1850452346987872256.html
茗筑,整租,3室1厅1卫,104.71㎡,东南,2天前,随时入住,高楼层/27层,有,租用车位,民水,民电,有,集中供暖,1年以内,需提前预约,季付,7200,7200,0.0,7200,https://bj.zu.ke.com/zufang/BJ1852289764145758208.html
A派公寓,整租,3室1厅1卫,117.00㎡,南 北,7天前,随时入住,中楼层/9层,有,暂无数据,民水,民电,有,集中供暖,3年以内,一般下班后可看,季付,12500,12500,0.0,12500,https://bj.zu.ke.com/zufang/BJ1852220302134607872.html
惠新南里5号院,整租,1室1厅1卫,44.00㎡,南,4天前,随时入住,低楼层/16层,有,暂无数据,民水,民电,有,集中供暖,2年以内,需提前预约,季付,5000,5000,0.0,5000,https://bj.zu.ke.com/zufang/BJ1852277880159993856.html
保利垄上五区,整租,4室2厅3卫,412.03㎡,南 北,1天前,随时入住,低楼层/3层,无,免费使用,民水,民电,有,自采暖,3年以内,需提前预约,季付,27000,27000,0.0,27000,https://bj.zu.ke.com/zufang/BJ1852290208330940416.html
万源东里,整租,2室1厅1卫,53.70㎡,南,今天,随时入住,4/5层,无,暂无数据,民水,民电,有,集中供暖,1~2年,随时可看,月付,5313,5313,,0,https://bj.zu.ke.com/zufang/BJ1970061674190733312.html
中关村公馆,整租,3房间2卫,130.00㎡,南 北,15天前,随时入住,高楼层/15层,有,租用车位,商水,商电,有,集中供暖,暂无数据,需提前预约,季付,18000,18000,0.0,18000,https://bj.zu.ke.com/zufang/BJ1851823555310780416.html
大西洋新城D区,整租,4室2厅3卫,211.26㎡,东 南 西 北,2天前,随时入住,中楼层/21层,有,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,季付,20000,20000,0.0,20000,https://bj.zu.ke.com/zufang/BJ1852609135334391808.html
MOMA万万树,整租,4室2厅5卫,419.64㎡,南 北,9天前,随时入住,低楼层/2层,无,免费使用,民水,民电,有,自采暖,3年以上,需提前预约,季付,29000,29000,0.0,29000,https://bj.zu.ke.com/zufang/BJ1852540932130340864.html
美然动力A2区,合租,3居室,12.45㎡,南,今天,随时入住,9/10层,有,租用车位,民水,民电,有,集中供暖,1~2年,随时可看,月付,2688,2688,,0,https://bj.zu.ke.com/zufang/BJ1970058112756875264.html
建设部大院,整租,1室1厅1卫,43.17㎡,东,3天前,随时入住,6/6层,无,暂无数据,民水,民电,有,集中供暖,2~36个月,随时可看,季付,5800,5800,,0,https://bj.zu.ke.com/zufang/BJ1949043495540883456.html
北京像素南区,合租,3房间2卫,12.00㎡,东北,3天前,随时入住,11/16层,有,免费使用,民水,民电,有,集中供暖,1~2年,随时可看,月付,1600,1600,,0,https://bj.zu.ke.com/zufang/BJ1949031067620999168.html
珠江帝景,整租,4室2厅2卫,177.90㎡,南 北,4天前,2025-01-20,中楼层/17层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,17500,17500,0.0,17500,https://bj.zu.ke.com/zufang/BJ1969367400994308096.html
羊耳峪里,整租,2室1厅1卫,60.08㎡,南 北,15天前,随时入住,中楼层/6层,无,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,季付,1200,1200,0.0,1200,https://bj.zu.ke.com/zufang/BJ1969375744106692608.html
莲花小区,整租,2室1厅1卫,112.00㎡,西南,9天前,随时入住,高楼层/28层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,8900,8900,0.0,8900,https://bj.zu.ke.com/zufang/BJ1969374487505797120.html
天通苑北一区,整租,5室2厅2卫,187.33㎡,西南 北,2天前,随时入住,低楼层/29层,有,暂无数据,民水,民电,有,集中供暖,2年以内,需提前预约,半年付,19000,19000,0.0,19000,https://bj.zu.ke.com/zufang/BJ1969375600334340096.html
建明里小区,整租,2室1厅1卫,76.24㎡,南 北,3天前,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,3年以内,需提前预约,季付,3500,3500,0.0,3500,https://bj.zu.ke.com/zufang/BJ1969373871953936384.html
中关村南三街,整租,2室1厅1卫,60.00㎡,南,1天前,随时入住,中楼层/12层,有,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,半年付,8000,8000,0.0,8000,https://bj.zu.ke.com/zufang/BJ1969382690008334336.html
三环新城7号院,整租,1室0厅1卫,42.15㎡,东,5天前,2024-12-31,低楼层/29层,有,暂无数据,民水,民电,有,自采暖,暂无数据,需提前预约,季付,4600,4600,0.0,4600,https://bj.zu.ke.com/zufang/BJ1969382047482904576.html
西八间北里,整租,2室1厅1卫,72.45㎡,南 北,今天,2024-12-31,低楼层/6层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,6500,6500,0.0,6500,https://bj.zu.ke.com/zufang/BJ1969382954715054080.html
三义庙北,合租,3居室,8.50㎡,北,今天,随时入住,4/6层,无,暂无数据,民水,民电,有,集中供暖,1~2年,随时可看,月付,3213,3213,,0,https://bj.zu.ke.com/zufang/BJ1949049990747783168.html
UHN国际村,整租,1室0厅1卫,52.68㎡,西北,1天前,2024-12-26,低楼层/28层,有,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,季付,7300,7300,0.0,7300,https://bj.zu.ke.com/zufang/BJ1969376185796263936.html
国仕汇,整租,2室1厅1卫,79.36㎡,南 北,3天前,随时入住,低楼层/13层,有,暂无数据,民水,民电,有,自采暖,1年以内,需提前预约,季付,5200,5200,0.0,5200,https://bj.zu.ke.com/zufang/BJ1969377800326479872.html
龙禧苑二区,整租,3室1厅1卫,117.00㎡,南 北,2天前,随时入住,中楼层/7层,无,暂无数据,民水,民电,有,自采暖,1年以内,需提前预约,季付,6500,6500,0.0,6500,https://bj.zu.ke.com/zufang/BJ1969378962819776512.html
嘉铭桐城D区,整租,1室1厅1卫,63.14㎡,南,3天前,随时入住,低楼层/9层,有,暂无数据,民水,民电,有,自采暖,暂无数据,需提前预约,季付,8000,8000,0.0,8000,https://bj.zu.ke.com/zufang/BJ1969390941861052416.html
白露雅园东区,整租,2室1厅1卫,97.90㎡,南 北,9天前,随时入住,低楼层/6层,有,租用车位,民水,民电,有,集中供暖,2年以内,需提前预约,季付,6800,6800,0.0,6800,https://bj.zu.ke.com/zufang/BJ1969387319853056000.html
华严里,合租,3居室,8.31㎡,北,今天,随时入住,6/6层,无,租用车位,民水,民电,有,集中供暖,4~7个月,随时可看,月付,3003,3003,,0,https://bj.zu.ke.com/zufang/BJ1848457761008910336.html
福运佳园,整租,3室1厅2卫,120.26㎡,南 北,4天前,随时入住,中楼层/12层,有,租用车位,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,需提前预约,季付,3800,3800,0.0,3800,https://bj.zu.ke.com/zufang/BJ1969387699299155968.html
右安门内西街甲2号院,整租,1室1厅1卫,38.75㎡,南,2天前,随时入住,低楼层/6层,无,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,季付,5000,5000,0.0,5000,https://bj.zu.ke.com/zufang/BJ1969388542429757440.html
万科天地,整租,1室1厅1卫,43.00㎡,南,今天,随时入住,10/13层,有,租用车位,商水,商电,有,集中供暖,7~12个月,随时可看,月付,4336,4336,,0,https://bj.zu.ke.com/zufang/BJ1848474689534427136.html
阿尔法社区,整租,2室1厅1卫,90.00㎡,南 北,1天前,随时入住,低楼层/6层,无,暂无数据,民水,民电,有,自采暖,暂无数据,需提前预约,季付,5200,5200,0.0,5200,https://bj.zu.ke.com/zufang/BJ1969385574343114752.html
丰益花园东区,合租,4居室,8.30㎡,西,今天,随时入住,20/28层,有,租用车位,民水,民电,有,自采暖,1~2年,随时可看,月付,2268,2268,,0,https://bj.zu.ke.com/zufang/BJ1848415154853642240.html
京贸国际城,整租,3室1厅2卫,140.60㎡,南 北,2天前,随时入住,低楼层/35层,有,租用车位,民水,民电,有,集中供暖,1年以内,需提前预约,季付,6200,6200,0.0,6200,https://bj.zu.ke.com/zufang/BJ1969395433566371840.html
电力宿舍,合租,3居室,9.10㎡,北,今天,随时入住,4/6层,无,暂无数据,民水,民电,有,集中供暖,1~2年,随时可看,月付,2509,2509,,0,https://bj.zu.ke.com/zufang/BJ1848393206161473536.html
新源西里中街,合租,3居室,17.50㎡,南,今天,随时入住,18/22层,有,暂无数据,民水,民电,有,集中供暖,1~2年,随时可看,月付,3633,3633,,0,https://bj.zu.ke.com/zufang/BJ1848437097254354944.html
筑华年,合租,3居室,10.30㎡,北,今天,随时入住,1/24层,有,租用车位,民水,民电,有,集中供暖,1年,随时可看,月付,2341,2341,,0,https://bj.zu.ke.com/zufang/BJ1848084171705024512.html
华裕园小区,整租,1室1厅1卫,56.00㎡,南,4天前,随时入住,低楼层/5层,无,免费使用,民水,民电,有,集中供暖,3年以上,需提前预约,季付,10000,10000,0.0,10000,https://bj.zu.ke.com/zufang/BJ1969390160567074816.html
华腾园,整租,3室1厅2卫,138.18㎡,西南,今天,随时入住,中楼层/28层,有,租用车位,民水,民电,有,集中供暖,1年以内,需提前预约,季付,12500,12500,0.0,12500,https://bj.zu.ke.com/zufang/BJ1969413638871580672.html
苹果社区南区,合租,3居室,18.00㎡,北,今天,随时入住,5/27层,有,租用车位,民水,民电,有,集中供暖,1~2年,随时可看,月付,3423,3423,,0,https://bj.zu.ke.com/zufang/BJ1851307983141601280.html
莲馨苑,整租,3室1厅1卫,99.38㎡,南 北,14天前,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,年付,2600,2600,0.0,2600,https://bj.zu.ke.com/zufang/BJ1920436007933575168.html
首城国际中心,整租,3房间2卫,86.00㎡,东,6天前,随时入住,高楼层/16层,有,暂无数据,商水,商电,无,自采暖,1年以内,需提前预约,季付,13800,13800,0.0,13800,https://bj.zu.ke.com/zufang/BJ1920443102846255104.html
富力阳光美园,合租,3居室,11.57㎡,北,今天,随时入住,3/27层,有,租用车位,民水,民电,有,自采暖,1~2年,随时可看,月付,2446,2446,,0,https://bj.zu.ke.com/zufang/BJ1851326208864681984.html
博客园,整租,2室1厅1卫,95.04㎡,南,今天,随时入住,4/18层,有,租用车位,民水,民电,有,自采暖,7~12个月,随时可看,月付,4369,4369,,0,https://bj.zu.ke.com/zufang/BJ1851227081552166912.html
融泽嘉园西二路2号院,合租,3居室,11.44㎡,南,今天,随时入住,17/30层,有,租用车位,民水,民电,有,集中供暖,1~2年,随时可看,月付,3559,3559,,0,https://bj.zu.ke.com/zufang/BJ1851233522665127936.html
富力城C区,整租,3室2厅2卫,262.36㎡,南 北,6天前,随时入住,中楼层/20层,有,租用车位,民水,民电,有,集中供暖,3年以上,需提前预约,季付,29000,29000,0.0,29000,https://bj.zu.ke.com/zufang/BJ1920659036294873088.html
天通西苑二区,整租,3室2厅2卫,151.00㎡,东 西,6天前,暂无数据,中楼层/13层,有,暂无数据,民水,民电,有,集中供暖,3年以内,需提前预约,季付,8800,8800,0.0,8800,https://bj.zu.ke.com/zufang/BJ1920691377302142976.html
金地朗悦朗园,整租,3室1厅1卫,89.00㎡,东南 北,8天前,随时入住,中楼层/14层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,4900,4900,0.0,4900,https://bj.zu.ke.com/zufang/BJ1920690231070162944.html
泰禾,整租,1室1厅1卫,83.28㎡,西 北,今天,随时入住,低楼层/23层,有,暂无数据,民水,商电,无,集中供暖,暂无数据,需提前预约,半年付,25000,25000,0.0,25000,https://bj.zu.ke.com/zufang/BJ1920685613745438720.html
左家庄北里,整租,2室1厅1卫,63.30㎡,西南,4天前,随时入住,中楼层/20层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,5500,5500,0.0,5500,https://bj.zu.ke.com/zufang/BJ1920705159894138880.html
天之骄子,整租,2室1厅2卫,98.55㎡,南,9天前,随时入住,低楼层/15层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,一般下班后可看,季付,12000,12000,0.0,12000,https://bj.zu.ke.com/zufang/BJ1920807516728459264.html
燕翔西里,整租,3室1厅1卫,90.00㎡,南 北,4天前,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,一般下班后可看,季付,3600,3600,0.0,3600,https://bj.zu.ke.com/zufang/BJ1920813929613754368.html
角门东里,整租,2室1厅1卫,50.80㎡,东 西,6天前,随时入住,低楼层/6层,无,暂无数据,民水,民电,有,集中供暖,2年以内,需提前预约,季付,4500,4500,0.0,4500,https://bj.zu.ke.com/zufang/BJ1920860478532222976.html
东亚首航国际,整租,1房间1卫,33.77㎡,南,6天前,随时入住,低楼层/9层,有,租用车位,商水,商电,无,集中供暖,1年以内,需提前预约,季付,1950,1950,0.0,1950,https://bj.zu.ke.com/zufang/BJ1920868218772127744.html
朱辛庄南区,合租,3居室,11.80㎡,北,今天,随时入住,3/6层,无,租用车位,民水,民电,有,自采暖,1年,随时可看,月付,2268,2268,,0,https://bj.zu.ke.com/zufang/BJ1851548801366491136.html
